P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
TOI-2193 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,16-03-2023,298.7587,-57.20911,57.20911,0,Mass,19.84,,,0,2.1225735,-1.60E-06,1.6000000e-06,0,0.03319,-0.00051,0.00052,0,0,,,0,79.96,,,0,,,,0,TOI-2193 A,,,,313.69123,-72.80464,20h54m45.90s,-72d48m16.71s,11.976,-0.021,0.021,337.064,-2.351,2.385,5966,-72,73,0,1.08,-0.05,0.05,0,1.25,-0.03,0.03,0,0.027,-0.052,0.066,0,5.5,-1.7,1.9,0,0.25,-0.021,0.018,0,4.28,-0.02,0.03,0,3.8805157,15.058402,0.75899205,0.038255648,0.002163174,0.03319,0.03319,0.03319,0.03319,1614.3046,1614.3046,1614.3046,1614.7158,1614.7158,1614.7158,,1823.5677,1823.5677,Jovian,G,20 54 45.90,-72 48 16.71,1.7782794,0.98941918,2.3201289,1.2532155,2.1996933,1.3249873,2.1996933,1.2097036,2.1996933,3.6005079,2.8749373,0.48763313,0,0,Hot,0,0.047425414,Pavo,Pav,Peacock
TOI-4137 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,16-03-2023,457.67291,-47.67426,54.03083,0,Mass,13.574,-0.437,0.448,0,3.8016122,-6.50E-06,6.5000000e-06,0,0.05222,-0.00096,0.00089,0,0,-0.052,0.048,0,85.7,-0.4,0.4,0,,,,0,TOI-4137,,,,77.612879,70.391079,05h10m27.09s,+70d23m27.88s,11.31,-0.009,0.009,334.993,-3.25,3.313,6202,-90,94,0,1.31,-0.07,0.07,0,1.44,-0.04,0.04,0,0.182,-0.085,0.083,0,2.1,-1,1.3,0,0.439,-0.028,0.03,0,4.24,-0.03,0.03,0,5.8066237,33.716879,2.4839309,0.18299182,0.00367889,0.05222,0.05222,0.05222,0.05222,1007.6884,1007.6884,1007.6884,1435.2623,1435.2623,1435.2623,,1620.9032,1620.9032,Jovian,F,05 10 27.09,+70 23 27.88,2.7478942,1.2123593,2.8285859,1.5355853,2.6817571,1.6232183,2.6817571,1.4822138,2.6817571,4.4757288,4.5989787,0.44294705,0,0,Hot,0,0.067152419,Camelopardalis,Cam,Giraffe
TOI-4342 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,16-03-2023,6.41,,,0,M-R relationship,2.415,-0.04,0.043,0,10.688716,-1.50E-05,1.5000000e-05,0,0.0814,-0.00017,0.00017,0,,,,0,89.63,-0.12,0.12,0,,,,0,TOI-4342,,,M0 V,324.38942,-77.979147,21h37m33.46s,-77d58m44.93s,12.669,-0.057,0.057,61.5204,-0.1022,0.1022,3901,-69,69,0,0.63,-0.01,0.01,0,0.6,-0.01,0.01,0,,,,0,,,,0,-1.127,-0.032,0.03,0,4.69,-0.01,0.01,0,1.6291852,2.6542443,1.099066,0.45509978,0.00176434,0.0814,0.0814,0.0814,0.0814,11.265519,11.265519,11.265519,466.69968,466.69968,466.69968,527.06396,527.06396,527.06396,Superterran,M,21 37 33.46,-77 58 44.93,0.074644876,0.22205493,0.5648213,0.28126672,0.53549577,0.29805322,0.53549577,0.27151723,0.53549577,0.73767279,0.069161921,0.39548618,0,0,Hot,0,0.33963825,Octans,Oct,Octant
TOI-4342 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,16-03-2023,5.76,,,0,M-R relationship,2.266,-0.038,0.038,0,5.5382498,-5.80E-06,5.7000000e-06,0,0.05251,-0.00011,0.00011,0,,,,0,89.13,-0.13,0.15,0,,,,0,TOI-4342,,,M0 V,324.38942,-77.979147,21h37m33.46s,-77d58m44.93s,12.669,-0.057,0.057,61.5204,-0.1022,0.1022,3901,-69,69,0,0.63,-0.01,0.01,0,0.6,-0.01,0.01,0,,,,0,,,,0,-1.127,-0.032,0.03,0,4.69,-0.01,0.01,0,1.5943413,2.5419241,1.121767,0.49504282,0.001098301,0.05251,0.05251,0.05251,0.05251,27.071727,27.071727,27.071727,581.07033,581.07033,581.07033,656.22763,656.22763,656.22763,Superterran,M,21 37 33.46,-77 58 44.93,0.074644876,0.22205493,0.5648213,0.28126672,0.53549577,0.29805322,0.53549577,0.27151723,0.53549577,0.73767279,0.069161921,0.39548618,0,0,Hot,0,0.28836774,Octans,Oct,Octant
HD 109833 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,15-03-2023,8.69,,,0,M-R relationship,2.888,-0.127,0.152,0,9.188526,-2.60E-05,2.6000000e-05,0,0.088067312,,,0,0.18,-0.12,0.24,0,88.13,-0.55,1,0,,,,0,HD 109833,HD 109833,HIP 61723,,189.77586,-74.574021,12h39m06.21s,-74d34m26.47s,9.29,-0.03,0.03,79.5561,-0.1483,0.1488,5881,-50,50,0,1.08,-0.05,0.05,0,1,-0.04,0.04,0,-0.07,-0.08,0.08,0,0.027,-0.003,0.003,0,0.072,-0.03,0.028,0,4.45,-0.1,0.1,0,1.7346477,3.0090028,1.0418985,0.36076817,0.00144748,0.089494003,0.072215196,0.10391943,0.088427835,154.7115,109.29656,226.33036,892.90491,823.66637,988.06477,,930.20174,1115.8639,Neptunian,G,12 39 06.21,-74 34 26.47,1.1803206,0.81026512,1.903916,1.0262983,1.8050856,1.0851533,1.8050856,0.99067807,1.8050856,2.9333492,2.4843247,0.20102961,0,0,Hot,0,0.22209237,Musca,Mus,Fly
K2-8 b,Transit,K2,2015,05-09-2019,12.5,,,0,M-R relationship,3.58,-0.71,0.71,0,10.35239,-0.00086,0.00086,0,0.0856,-0.0014,0.0014,0,,,,0,86.42,-1.37,2.56,0,,,,0,K2-8,,,K3 V,169.79352,-0.2844389,11h19m10.44s,-00d17m03.98s,14.801,-0.32,0.32,403.513,-11.6715,11.6715,4870,-60,60,0,0.78,-0.04,0.04,0,0.74,-0.04,0.04,0,-0.02,-0.04,0.04,0,,,,0,-0.553,,,0,4.52,-0.1,0.1,0,1.8685877,3.4916201,0.97531288,0.27243377,0.002158726,0.0856,0.0856,0.0856,0.0856,38.199042,38.199042,38.199042,633.30487,633.30487,633.30487,,715.21833,715.21833,Neptunian,K,11 19 10.44,-00 17 03.98,0.27989813,0.41688647,1.0132827,0.52804942,0.96068234,0.55890817,0.96068234,0.50977641,0.96068234,1.4284458,0.39244009,0.42466779,0,0,Hot,0,0.21965139,Leo,Leo,Lion
Kepler-46 d,Transit,Kepler,2014,16-04-2019,3.33,,,0,M-R relationship,1.64,-0.92,0.92,0,6.766589,-2.20E-05,2.2000000e-05,0,0.067,,,0,0,,,0,88.51,,,0,,,,0,Kepler-46,,,,289.26874,42.604182,19h17m04.50s,+42d36m15.05s,15.312,-0.114,0.114,777.06,-16.493,17.209,5309,-200,200,0,0.92,-0.03,0.03,0,0.79,-0.44,0.44,0,0.37,-0.053,0.052,0,4.5,-3.8,3.8,0,-0.378,,,0,4.58,-0.3,0.3,0,1.4249519,2.0304878,1.2381023,0.75494044,0.001028992,0.067,0.067,0.067,0.067,93.293287,93.293287,93.293287,791.70303,791.70303,791.70303,894.10417,894.10417,894.10417,Superterran,G,19 17 04.50,+42 36 15.05,0.41879357,0.49894692,1.1925219,0.63198578,1.1306186,0.66859372,1.1306186,0.61009748,1.1306186,1.7472851,0.881489,0.4470501,0,0,Hot,0,0.28697878,Lyra,Lyr,Lyre
WASP-171 b,Transit,WASP-South,2019,18-10-2022,344.52772,-29.87602,29.87602,0,Mass,10.985,-0.448,0.785,0,3.8186244,-3.80E-06,3.8000000e-06,0,0.0504,-0.00083,0.00083,0,0,,,0,88.3,-1.9,1.1,0,,,,0,WASP-171,,,G0,171.84505,-44.088704,11h27m22.81s,-44d05m19.33s,12.612,-0.08,0.08,757.84,-18.798,19.761,5965,-100,100,0,1.17,-0.06,0.06,0,1.64,-0.05,0.09,0,0.04,-0.07,0.07,0,5.908,-1.051,1.051,0,0.672,-0.018,0.017,0,4.08,-0.05,0.02,0,5.6003098,31.36347,2.8551179,0.2599106,0.003353991,0.0504,0.0504,0.0504,0.0504,1849.8603,1849.8603,1849.8603,1670.646,1670.646,1670.646,,1886.7322,1886.7322,Jovian,G,11 27 22.81,-44 05 19.33,4.6989411,1.6084472,3.7718008,2.0372872,3.5760103,2.1539646,3.5760103,1.9665524,3.5760103,5.8528011,2.9476073,0.50682754,0,0,Hot,0,0.0802346,Centaurus,Cen,Centaur
PZ Tel b,Imaging,W. M. Keck Observatory,2023,10-04-2023,8581.367,-2860.4557,7945.7102,0,Mass,11.9,,,0,44000,-10000,40000,0,27,-4,14,0,0.52,-0.1,0.08,0,91.73,-0.32,0.36,0,50,-30,50,0,PZ Tel,HD 174429,HIP 92680,G9 IV,283.27458,-50.180895,18h53m05.90s,-50d10m51.22s,8.43,-0.03,0.03,47.0648,-0.1338,0.1347,5169,-144.38,108.78,0,1.36,-0.13,0.15,0,1.26,-0.06,0.09,0,,,,0,0.2,,,1,0.007,-0.013,0.009,0,4.18,-0.07,0.1,1,26.853739,721.12328,60.598595,5.0923189,2.3954996,30.6504,12.96,41.04,28.005787,0.001632037,0.000603372,0.006050482,48.331004,39.925102,71.04724,,45.089129,80.236693,Jovian,G,18 53 05.90,-50 10 51.22,1.0162487,0.78300809,1.8808752,0.99179195,1.7832393,1.0493983,1.7832393,0.95745454,1.7832393,2.7218473,0.78948536,0.30309316,0,0,Cold,0,0.076026909,Telescopium,Tel,Telescope
K2-316 c,Transit,K2,2020,09-09-2020,4.01,,,0,M-R relationship,1.83,-0.12,0.13,0,5.26,-0.007,0.007,0,0.0582,-0.0122,0.0081,0,,,,0,89.31,-1.06,0.49,0,,,,0,K2-316,,,,233.62473,-23.259466,15h34m29.94s,-23d15m34.08s,17.14,-0.2,0.2,112.486,-0.952,0.968,3436,-3,3,0,0.41,-0.01,0.01,0,0.38,0,0,0,,,,0,,,,0,-1.83,-0.124,0.096,0,4.89,0,0,0,1.4802894,2.1912568,1.1974081,0.65432137,0.001244978,0.0582,0.0582,0.0582,0.0582,4.3667068,4.3667068,4.3667068,368.24615,368.24615,368.24615,415.87616,415.87616,415.87616,Superterran,M,15 34 29.94,-23 15 34.08,0.014791084,0.099548813,0.25914508,0.12609271,0.2456878,0.1336893,0.2456878,0.12171124,0.2456878,0.32837022,0.026961039,0.34272497,0,0,Hot,0,0.51032552,Libra,Lib,Scales
TOI-2010 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,29-11-2023,408.72733,-18.11622,17.48056,0,Mass,11.814,-0.303,0.303,0,141.83402,-6.60E-05,6.5000000e-05,0,0.5516,-0.0093,0.0078,0,0.212,-0.021,0.022,0,89.903,-0.059,0.064,0,98.8,-4.9,4.8,0,TOI-2010,,,F0,292.16694,53.487369,19h28m40.07s,+53d29m14.53s,9.849,-0.004,0.004,109.19,-0.32,0.322,5929,-74,74,0,1.11,-0.06,0.05,0,1.08,-0.03,0.03,0,0.168,-0.055,0.055,0,1.9,-1.3,2.2,0,0.114,-0.028,0.027,0,4.42,-0.03,0.02,0,5.8819097,34.596862,2.928463,0.24788074,0.031163002,0.56399556,0.4346608,0.6685392,0.55474558,4.372573,2.9090169,6.8817525,365.21851,332.68734,412.59549,,375.71807,465.96177,Jovian,F,19 28 40.07,+53 29 14.53,1.3001696,0.84792916,1.9900855,1.0740029,1.8867821,1.1355468,1.8867821,1.0367193,1.8867821,3.0786744,2.7226287,0.41221592,0,0,Hot,0,0.25627349,Cygnus,Cyg,Swan
K2-38 c,Transit,K2,2016,17-04-2023,7.4,-1.3,1.4,0,Mass,2.49,-0.22,0.22,0,10.56103,-0.0009,0.0009,0,0.0959,-0.0022,0.0022,0,0.086,,,1,87.68,-0.28,0.31,0,153,-33,54,0,K2-38,,,G2 V,240.03331,-23.18942,16h00m07.99s,-23d11m21.91s,11.344,-0.023,0.023,192.69,-2.597,2.669,5705,-66,66,0,1.05,-0.06,0.07,0,1.14,-0.01,0.01,0,0.235,-0.07,0.07,0,6.1,-3.1,3.4,0,0.037,-0.064,0.056,0,4.36,-0.07,0.07,0,1.7239163,2.9718876,1.1935291,0.47932897,0.001680986,0.096254638,0.0876526,0.1041474,0.095988875,118.84332,100.39293,141.73281,839.92258,806.35353,878.95635,948.56057,910.64961,992.64308,Superterran,G,16 00 07.99,-23 11 21.91,1.0889301,0.78655278,1.8567776,0.99626858,1.7603939,1.0535673,1.7603939,0.96171591,1.7603939,2.817499,1.8189193,0.49148422,0,0,Hot,0,0.24198474,Scorpius,Sco,Scorpion
K2-222 b,Transit,K2,2018,17-04-2023,8.7,-1.7,1.7,0,Mass,2.35,-0.07,0.08,0,15.38857,-0.00088,0.00088,0,0.1206,-0.0029,0.0029,0,0.16,,,1,89.12,-0.41,0.55,0,,,,0,K2-222,,,,16.46252,11.753717,01h05m51.00s,+11d45m13.38s,9.543,-0.004,0.004,101.321,-0.625,0.632,5942,-119,119,0,0.99,-0.07,0.07,0,1.11,-0.03,0.03,0,-0.315,-0.06,0.06,0,7.1,-1.7,1.5,0,0.139,-0.004,0.004,0,4.37,-0.03,0.03,0,1.9240914,3.7021277,1.5753735,0.67037169,0.002091092,0.12214368,0.101304,0.139896,0.1209892,95.926091,70.370301,134.19824,793.37115,737.81429,867.03457,895.98805,833.2453,979.1793,Superterran,G,01 05 51.00,+11 45 13.38,1.3772095,0.8719984,2.0459408,1.1044891,1.939738,1.1677669,1.939738,1.0661449,1.939738,3.1685733,2.6799418,0.4942875,0,0,Hot,0,0.2511495,Pisces,Psc,Fishes
Kepler-1834 c,Transit,Kepler,2023,16-05-2023,1.98,,,0,M-R relationship,1.22,-0.08,0.05,0,0.76669152,-1.27E-06,1.2700000e-06,0,0.015,,,0,0,,,0,84.94,,,0,,,,0,Kepler-1834,,,,294.66468,39.783846,19h38m39.52s,+39d47m01.85s,15.18,-0.08,0.08,500.395,-8.063,8.326,4821,-76,76,0,0.77,-0.03,0.05,0,0.79,-0.05,0.03,0,0.16,-0.15,0.15,0,12.2,-3.8,3.8,0,-0.577,,,0,4.53,-0.02,0.06,0,1.2739509,1.6229508,1.3302876,1.0903996,0.000205558,0.015,0.015,0.015,0.015,1177.1112,1177.1112,1177.1112,1492.1211,1492.1211,1492.1211,1685.1163,1685.1163,1685.1163,Terran,K,19 38 39.52,+39 47 01.85,0.26485001,0.40640072,0.98983314,0.51476803,0.93844988,0.54488177,0.93844988,0.4969553,0.93844988,1.3895167,0.3592077,0.49748698,0,0,Hot,0,0.29062414,Cygnus,Cyg,Swan
Kepler-1991 c,Transit,Kepler,2023,16-05-2023,7.13,,,0,M-R relationship,2.57,-0.36,0.36,0,22.790204,-6.88E-05,6.8780000e-05,0,0.1528,,,0,0,,,0,89.94,,,0,,,,0,Kepler-1991,,,,285.03605,45.070991,19h00m08.65s,+45d04m15.57s,15.048,-0.16,0.16,855.82,-13.906,14.365,5478,-74,82,0,0.91,-0.04,0.06,0,1.05,-0.15,0.15,0,0.16,-0.15,0.15,0,0.4,-3.8,3.8,0,-0.108,,,0,4.35,-0.1,0.13,0,1.6656287,2.7743191,1.0795016,0.42003953,0.003035694,0.1528,0.1528,0.1528,0.1528,33.400525,33.400525,33.400525,612.40402,612.40402,612.40402,,691.61411,691.61411,Neptunian,G,19 00 08.65,+45 04 15.57,0.77983011,0.67449127,1.6030523,0.85433361,1.5198389,0.90366547,1.5198389,0.82472868,1.5198389,2.3843157,1.1741638,0.29756508,0,0,Hot,0,0.26498108,Lyra,Lyr,Lyre
Kepler-297 d,Transit,Kepler,2023,16-05-2023,89700,,,0,M-R relationship,32.6,-2.94,3.6,0,150.01895,-0.0001744,0.0001744,0,0.523,,,0,0,,,0,89.4,,,0,,,,0,Kepler-297,,,,283.20916,48.777616,18h52m50.20s,+48d46m39.42s,14.326,-0.16,0.16,692.14,-7.901,8.083,5618,-112,112,0,0.85,-0.05,0.06,0,0.9,-0.08,0.1,0,-0.22,-0.15,0.15,0,1.9,-1.4,1.4,0,-0.096,,,0,4.46,-0.09,0.08,0,52.455064,2751.5337,84.402876,2.5890453,0.24721687,0.523,0.523,0.523,0.523,2.9308705,2.9308705,2.9308705,333.3104,333.3104,333.3104,,376.42172,376.42172,Jovian,G,18 52 50.20,+48 46 39.42,0.80167806,0.67836191,1.6053653,0.85923317,1.5220321,0.90872442,1.5220321,0.82944331,1.5220321,2.4174849,1.4598595,0.37712913,0,0,Hot,0,0.24974018,Draco,Dra,Dragon
OGLE-2018-BLG-1126L b,Microlensing,KMTNet,2022,03-05-2023,17.79839,-9.85268,10.48834,0,Mass,4.41,,,0,,,,0,3.23,-1.71,1.29,0,,,,0,,,,0,,,,0,OGLE-2018-BLG-1126L,,,,268.35588,-31.724719,17h53m25.41s,-31d43m28.99s,,,,5700,-2420,1820,,,,0,0.69,-0.38,0.41,0,,,,0,,,,0,,,,0,,,,0,,,,0,2.008959,4.0359161,0.91517372,0.20752239,0.095462246,3.23,3.23,3.23,3.23,,,,,,,,,,Neptunian,,17 53 25.41,-31 43 28.99,,,,,,,,,,,,0.40766256,0,0,,0,,Scorpius,Sco,Scorpion
OGLE-2018-BLG-1367L b,Microlensing,KMTNet,2022,03-05-2023,301.93699,-139.8445,238.37131,0,Mass,13.8,,,0,,,,0,1.21,-0.32,0.34,0,,,,0,,,,0,,,,0,OGLE-2018-BLG-1367L,,,,269.75563,-29.168361,17h59m01.35s,-29d10m06.10s,,,,5370,-1420,1500,,,,0,0.28,-0.13,0.22,0,,,,0,,,,0,,,,0,,,,0,,,,0,4.6775519,21.879492,1.5854704,0.11488916,0.12411475,1.21,1.21,1.21,1.21,,,,,,,,,,Jovian,,17 59 01.35,-29 10 06.10,,,,,,,,,,,,0.30181244,0,0,,0,,Sagittarius,Sgr,Archer
Kepler-1988 b,Transit,Kepler,2023,16-05-2023,2.96,,,0,M-R relationship,1.53,-0.49,0.3,0,11.495002,-8.82E-05,8.8210000e-05,0,0.1038,,,0,0,,,0,79.67,,,0,,,,0,Kepler-1988,,,,298.6738,43.79551,19h54m41.71s,+43d47m43.84s,12.128,-0.057,0.057,513.426,,,6033,-183,183,0,1.13,-0.17,0.19,0,1.79,-0.57,0.35,0,-0.1,-0.3,0.3,0,,,,0,0.582,,,0,3.99,-0.11,0.27,0,1.3909136,1.9346405,1.2644709,0.82645159,0.001431266,0.1038,0.1038,0.1038,0.1038,354.49106,354.49106,354.49106,1105.3531,1105.3531,1105.3531,1248.3226,1248.3226,1248.3226,Terran,F,19 54 41.71,+43 47 43.84,3.8194427,1.4441237,3.3812153,1.8291487,3.2056998,1.9337964,3.2056998,1.7656215,3.2056998,5.2767165,3.2746874,0.48051905,0,0,Hot,0,0.28143754,Cygnus,Cyg,Swan
OGLE-2017-BLG-1375L b,Microlensing,OGLE,2020,05-11-2020,3585,-1070,2770,0,Mass,12.4,,,0,,,,0,3.04,-0.75,1.16,0,,,,0,,,,0,,,,0,OGLE-2017-BLG-1375L,,,,269.15488,-30.311417,17h56m37.17s,-30d18m41.1s,,,,3930,-910,1490,,,,0,0.81,-0.24,0.63,0,,,,0,,,,0,,,,0,,,,0,,,,0,17.00332,289.1129,23.315557,1.8802868,0.49926012,3.04,3.04,3.04,3.04,,,,,,,,,,Jovian,,17 56 37.17,-30 18 41.10,,,,,,,,,,,,0.43004391,0,0,,0,,Scorpius,Sco,Scorpion
Kepler-210 c,Transit,Kepler,2014,18-12-2022,12.8,,,0,M-R relationship,3.62,-0.19,0.19,0,7.972513,-3.00E-06,3.0000000e-06,0,0.07,,,0,0,,,0,85.73,-0.16,0.16,0,,,,0,Kepler-210,,,M0 V,292.50342,43.083219,19h30m00.82s,+43d04m59.59s,14.126,-0.137,0.137,232.75,-0.827,0.827,4559,-100,100,0,0.77,-0.02,0.02,0,0.65,-0.03,0.03,0,0.277,-0.013,0.013,0,1.78,-0.472,0.926,0,-0.799,,,0,4.66,-0.15,0.15,0,1.880402,3.5359116,0.97677116,0.26982629,0.001786994,0.07,0.07,0.07,0.07,32.419321,32.419321,32.419321,607.85597,607.85597,607.85597,,686.47781,686.47781,Neptunian,M,19 30 00.82,+43 04 59.59,0.15885467,0.31805764,0.78366782,0.40286936,0.74298561,0.42657049,0.74298561,0.38892851,0.74298561,1.0761276,0.22901437,0.36095944,0,0,Hot,0,0.22363277,Cygnus,Cyg,Swan
TOI-620 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,17-04-2023,13.6,,,0,M-R relationship,3.76,-0.15,0.15,0,5.0988179,-4.60E-06,4.5000000e-06,0,0.04825,-0.00066,0.00065,0,0.22,-0.12,0.28,0,87.47,-0.3,0.18,0,-84,-64,54,0,TOI-620,,,M2.5 V,142.17345,-12.167165,09h28m41.63s,-12d10m01.79s,12.262,-0.024,0.024,33.0231,-0.0583,0.0586,3708,-56,57,0,0.58,-0.02,0.02,0,0.55,-0.02,0.02,0,0.35,-0.12,0.11,0,7.2,-4.7,4.6,0,-1.288,-0.013,0.012,0,4.72,-0.03,0.02,0,1.9018468,3.6170213,0.96197374,0.25584408,0.001077492,0.04941765,0.037635,0.058865,0.048546657,22.687056,14.869135,36.376102,550.83312,500.23161,625.6101,,564.933,706.5283,Neptunian,M,09 28 41.63,-12 10 01.79,0.051522864,0.18511336,0.47542597,0.23447385,0.4507402,0.24852425,0.4507402,0.22633889,0.4507402,0.61286351,0.048294251,0.41456209,0,0,Hot,0,0.23368884,Hydra,Hya,Water Snake
TOI-942 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,17-04-2023,826.358,,,1,Mass,3.89,-0.23,0.25,0,4.32421,-1.90E-05,1.9000000e-05,0,0.04866,-0.00013,0.00016,0,0.34,-0.14,0.1,0,89.966,-0.024,0.02,0,-16,-40,28,0,TOI-942,,,K2.5 V,76.649617,-20.245613,05h06m35.91s,-20d14m44.21s,11.982,-0.026,0.026,152.601,-0.689,0.695,4969,-100,100,0,0.82,-0.01,0.01,0,0.89,-0.05,0.06,0,-0.221,-0.076,0.131,0,0.053,-0.021,0.022,0,-0.359,-0.021,0.034,0,4.31,-0.03,0.03,0,14.575025,212.43136,54.609605,14.038459,0.003220718,0.051472548,0.0321156,0.0652044,0.049391361,196.48592,102.9073,424.19732,932.23245,811.35564,1156.0901,,916.2987,1305.6221,Neptunian,K,05 06 35.91,-20 14 44.21,0.43752211,0.51885637,1.256026,0.65720855,1.1908252,0.69553605,1.1908252,0.63446342,1.1908252,1.7859273,0.47301923,0.20521484,0,0,Hot,0,0.18479103,Lepus,Lep,Hare
Kepler-1118 b,Transit,Kepler,2016,16-04-2019,7.95,,,0,M-R relationship,2.74,-0.43,0.6,0,38.671507,-0.0002298,0.0002298,0,0.2079,,,0,0,,,0,88.77,,,0,,,,0,Kepler-1118,,,,299.96566,44.16088,19h59m51.76s,+44d09m39.17s,15.238,-0.137,0.137,888.325,-20.632,21.619,5688,-268.88,303.78,0,0.96,-0.08,0.11,0,0.97,-0.11,0.17,0,0,-0.168,0.138,0,4.07,-2.33,4.4,0,-0.06,,,0,4.46,-0.12,0.08,0,1.7033672,2.9014599,1.058927,0.38646969,0.004207315,0.2079,0.2079,0.2079,0.2079,20.150741,20.150741,20.150741,539.72491,539.72491,539.72491,,609.53448,609.53448,Neptunian,G,19 59 51.76,+44 09 39.17,0.87096359,0.70415271,1.6630507,0.89189888,1.5767231,0.94320974,1.5767231,0.86096806,1.5767231,2.5197866,1.714576,0.44591045,0,0,Hot,0,0.28018349,Cygnus,Cyg,Swan
Kepler-1303 b,Transit,Kepler,2016,16-04-2019,2.6,,,0,M-R relationship,1.42,-0.14,0.35,0,7.5612722,-4.12E-05,4.1200000e-05,0,0.0751,,,0,0,,,0,89.27,,,0,,,,0,Kepler-1303,,,,284.28715,42.355578,18h57m08.92s,+42d21m20.08s,14.854,-0.16,0.16,897.783,-21.014,22.027,5771,-110.62,85.68,0,1.01,-0.05,0.05,0,1,-0.09,0.24,0,0.04,-0.156,0.133,0,4.47,-2.66,3.42,0,-0.002,,,0,4.44,-0.17,0.07,0,1.3531393,1.8309859,1.2894267,0.90804697,0.001029538,0.0751,0.0751,0.0751,0.0751,176.49001,176.49001,176.49001,928.49537,928.49537,928.49537,1048.5896,1048.5896,1048.5896,Terran,G,18 57 08.92,+42 21 20.08,0.99540542,0.74905454,1.7650783,0.9487706,1.6734546,1.0032772,1.6734546,0.91585643,1.6734546,2.6937902,2.0111042,0.46066288,0,0,Hot,0,0.29017208,Lyra,Lyr,Lyre
